年月,數值,預估(F)
2024/12,"5,356,996",F
2023/12,"5,091,752",F
2022/12,"5,295,857",P
2021/12,"4,802,455",P
2020/12,"3,933,414",R
2019/12,"3,740,330",R
2018/12,"3,278,250",R
2017/12,"3,132,210",R
2016/12,"3,172,823",R
2015/12,"3,029,456",R
2014/12,"2,951,986",R
2013/12,"2,763,424",R
