time,value,forecast
24-Dec,3361804 ,F
23-Dec,3242383 ,F
22-Dec,3121276 ,P
21-Dec,2937859 ,P
20-Dec,2772825 ,R
19-Dec,2652859 ,R
18-Dec,2623385 ,R
17-Dec,2486552 ,R
16-Dec,2482242 ,R
15-Dec,2363711 ,R
14-Dec,2360910 ,R
13-Dec,2259221 ,R
