time,value,forecast
Dec-24,"24,556,033",F
Dec-23,"23,355,819",F
Dec-22,"22,666,522",P
Dec-21,"21,738,982",P
Dec-20,"19,914,806",R
Dec-19,"18,908,632",R
Dec-18,"18,375,022",R
Dec-17,"17,983,347",R
Dec-16,"17,555,268",R
Dec-15,"17,055,080",R
Dec-14,"16,258,047",R
Dec-13,"15,270,728",R
