time,value,forecast
24-Dec,11855185 ,F
23-Dec,11361285 ,F
22-Dec,10329771 ,P
21-Dec,9697117 ,P
20-Dec,9601096 ,R
19-Dec,9883066 ,P
18-Dec,9610482 ,P
17-Dec,9325676 ,P
16-Dec,9082075 ,R
15-Dec,8787564 ,R
14-Dec,8602842 ,R
13-Dec,8242378 ,R
