time,value,forecast
24-Dec,24556033 ,F
23-Dec,23355819 ,F
22-Dec,22666522 ,P
21-Dec,21738982 ,P
20-Dec,19914806 ,R
19-Dec,18908632 ,R
18-Dec,18375022 ,R
17-Dec,17983347 ,R
16-Dec,17555268 ,R
15-Dec,17055080 ,R
14-Dec,16258047 ,R
13-Dec,15270728 ,R
