年月,數值,預估(F)
2024/12,"3,361,804",F
2023/12,"3,242,383",F
2022/12,"3,121,276",P
2021/12,"2,937,859",P
2020/12,"2,772,825",R
2019/12,"2,652,859",R
2018/12,"2,623,385",R
2017/12,"2,486,552",R
2016/12,"2,482,242",R
2015/12,"2,363,711",R
2014/12,"2,360,910",R
2013/12,"2,259,221",R
