年月,數值,預估(F)
2024/12,"11,855,185",F
2023/12,"11,361,285",F
2022/12,"10,329,771",P
2021/12,"9,697,117",P
2020/12,"9,601,096",R
2019/12,"9,883,066",P
2018/12,"9,610,482",P
2017/12,"9,325,676",P
2016/12,"9,082,075",R
2015/12,"8,787,564",R
2014/12,"8,602,842",R
2013/12,"8,242,378",R
