time,value,forecast
Dec-24,"5,356,996",F
Dec-23,"5,091,752",F
Dec-22,"5,295,857",P
Dec-21,"4,802,455",P
Dec-20,"3,933,414",R
Dec-19,"3,740,330",R
Dec-18,"3,278,250",R
Dec-17,"3,132,210",R
Dec-16,"3,172,823",R
Dec-15,"3,029,456",R
Dec-14,"2,951,986",R
Dec-13,"2,763,424",R
