Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,332.5,339.0,332.5,339.0,308.9863586425781,31754120
2020-01-03,344.0,345.0,335.5,339.5,309.4420471191406,41811268
2020-01-06,333.0,334.5,332.0,332.0,302.6060485839844,45343057
2020-01-07,332.5,333.0,326.5,329.5,300.327392578125,50879181
2020-01-08,325.0,333.0,325.0,329.5,300.327392578125,37567748
2020-01-09,335.0,337.5,333.5,337.5,307.619140625,31481504
2020-01-10,340.5,341.0,336.0,339.5,309.4420471191406,27032115
2020-01-13,342.0,342.0,339.0,341.5,311.2649841308594,30663332
2020-01-14,345.5,346.0,344.5,346.0,315.3665466308594,30223993
2020-01-15,345.0,345.0,337.5,340.0,309.8977966308594,47434274
2020-01-16,330.0,336.5,330.0,334.5,304.88470458984375,55211420
2020-01-17,334.0,335.5,332.0,333.0,303.5175476074219,52060097
2020-01-20,334.0,335.5,333.0,333.0,303.5175476074219,32658203
2020-01-30,326.0,326.0,316.5,316.5,288.4783630371094,125451049
2020-01-31,323.0,323.5,319.0,320.0,291.66851806640625,62526055
2020-02-03,315.0,316.5,312.0,315.0,287.11114501953125,59560849
2020-02-04,336.5,337.0,325.0,325.0,296.22576904296875,51890496
2020-02-05,329.0,329.5,324.5,327.5,298.5044250488281,36601453
2020-02-06,329.5,332.5,329.0,332.5,303.0618591308594,29267094
2020-02-07,330.0,330.5,326.0,328.0,298.9601745605469,28798327
2020-02-10,321.5,328.0,321.0,327.5,298.5044250488281,30632424
2020-02-11,330.5,332.5,330.0,331.5,302.1504211425781,27524935
2020-02-12,333.5,336.0,333.0,335.0,305.3404541015625,37612639
2020-02-13,338.0,338.0,335.0,335.0,305.3404541015625,22757021
2020-02-14,337.0,337.0,334.5,335.0,305.3404541015625,16933683
2020-02-17,331.5,333.0,330.5,331.5,302.1504211425781,15937079
2020-02-18,324.5,326.5,322.0,322.0,293.4913330078125,61825604
2020-02-19,322.5,327.0,322.0,326.5,297.5929870605469,38781218
2020-02-20,328.0,329.0,325.0,325.5,296.68157958984375,27011736
2020-02-21,325.5,326.5,323.0,325.0,296.22576904296875,22813534
2020-02-24,319.5,321.5,319.5,320.0,291.66851806640625,41693680
2020-02-25,320.0,323.5,317.5,322.0,293.4913330078125,36195011
2020-02-26,317.0,320.5,316.5,318.5,290.30126953125,60479362
2020-02-27,319.0,320.0,315.0,316.0,288.0226135253906,61250927
2020-03-02,308.0,317.0,308.0,311.0,283.46533203125,79912942
2020-03-03,318.5,320.0,316.0,317.5,289.38983154296875,49679411
2020-03-04,322.0,322.0,317.0,320.5,292.1242370605469,42941146
2020-03-05,325.0,326.0,323.0,323.0,294.4028625488281,37861525
